UF,IBGE,COD_FAMILIAR,DT_HORA_ACAO,COD_MOTIVO,MOTIVO                                                                                           ,
SP,3543402,2427626970,16/03/2024 21:57:53,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,2427626970,16/06/2025 01:07:36,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2427626970,17/03/2024 11:32:14,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,2429429624,16/06/2025 01:07:36,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2434104843,16/06/2025 01:08:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2434104843,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,2445684560,16/06/2025 01:08:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2445684560,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,2446930808,11/10/2025 18:30:43,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2450570721,16/06/2025 01:08:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2451555386,12/07/2025 22:50:14,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,2451555386,13/07/2024 10:18:48,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,2455617068,12/07/2025 22:50:16,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,2459476558,15/12/2025 05:36:44,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,2459476558,17/08/2024 04:17:11,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,2462232605,16/06/2025 01:08:32,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,2462234055,16/06/2025 01:08:32,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
